RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,ADP
1,1,Sample QB 01,T02,QB,6,1.3
2,1,Sample RB 01,T03,RB,7,2.6
3,1,Sample RB 02,T04,RB,8,3.0
4,1,Sample RB 03,T05,RB,9,4.3
5,1,Sample WR 01,T06,WR,10,5.6
6,1,Sample WR 02,T07,WR,11,6.0
7,1,Sample WR 03,T08,WR,12,7.3
8,1,Sample TE 01,T09,TE,13,8.6
9,2,Sample QB 02,T10,QB,14,9.0
10,2,Sample RB 04,T11,RB,5,10.3
11,2,Sample RB 05,T12,RB,6,11.6
12,2,Sample RB 06,T13,RB,7,12.0
13,2,Sample WR 04,T14,WR,8,13.3
14,2,Sample WR 05,T15,WR,9,14.6
15,2,Sample WR 06,T16,WR,10,15.0
16,2,Sample TE 02,T17,TE,11,16.3
17,3,Sample QB 03,T18,QB,12,17.6
18,3,Sample RB 07,T19,RB,13,18.0
19,3,Sample RB 08,T20,RB,14,19.3
20,3,Sample RB 09,T21,RB,5,20.6
21,3,Sample WR 07,T22,WR,6,21.0
22,3,Sample WR 08,T23,WR,7,22.3
23,3,Sample WR 09,T24,WR,8,23.6
24,3,Sample TE 03,T25,TE,9,24.0
25,4,Sample QB 04,T26,QB,10,25.3
26,4,Sample RB 10,T27,RB,11,26.6
27,4,Sample RB 11,T28,RB,12,27.0
28,4,Sample RB 12,T29,RB,13,28.3
29,4,Sample WR 10,T30,WR,14,29.6
30,4,Sample WR 11,T31,WR,5,30.0
31,4,Sample WR 12,T32,WR,6,31.3
32,4,Sample TE 04,T01,TE,7,32.6
33,5,Sample QB 05,T02,QB,8,33.0
34,5,Sample RB 13,T03,RB,9,34.3
35,5,Sample RB 14,T04,RB,10,35.6
36,5,Sample RB 15,T05,RB,11,36.0
37,5,Sample WR 13,T06,WR,12,37.3
38,5,Sample WR 14,T07,WR,13,38.6
39,5,Sample WR 15,T08,WR,14,39.0
40,5,Sample TE 05,T09,TE,5,40.3
41,6,Sample QB 06,T10,QB,6,41.6
42,6,Sample RB 16,T11,RB,7,42.0
43,6,Sample RB 17,T12,RB,8,43.3
44,6,Sample RB 18,T13,RB,9,44.6
45,6,Sample WR 16,T14,WR,10,45.0
46,6,Sample WR 17,T15,WR,11,46.3
47,6,Sample WR 18,T16,WR,12,47.6
48,6,Sample TE 06,T17,TE,13,48.0
49,7,Sample QB 07,T18,QB,14,49.3
50,7,Sample RB 19,T19,RB,5,50.6
51,7,Sample RB 20,T20,RB,6,51.0
52,7,Sample RB 21,T21,RB,7,52.3
53,7,Sample WR 19,T22,WR,8,53.6
54,7,Sample WR 20,T23,WR,9,54.0
55,7,Sample WR 21,T24,WR,10,55.3
56,7,Sample TE 07,T25,TE,11,56.6
57,8,Sample QB 08,T26,QB,12,57.0
58,8,Sample RB 22,T27,RB,13,58.3
59,8,Sample RB 23,T28,RB,14,59.6
60,8,Sample RB 24,T29,RB,5,60.0
61,8,Sample WR 22,T30,WR,6,61.3
62,8,Sample WR 23,T31,WR,7,62.6
63,8,Sample WR 24,T32,WR,8,63.0
64,8,Sample TE 08,T01,TE,9,64.3
65,9,Sample QB 09,T02,QB,10,65.6
66,9,Sample RB 25,T03,RB,11,66.0
67,9,Sample RB 26,T04,RB,12,67.3
68,9,Sample RB 27,T05,RB,13,68.6
69,9,Sample WR 25,T06,WR,14,69.0
70,9,Sample WR 26,T07,WR,5,70.3
71,9,Sample WR 27,T08,WR,6,71.6
72,9,Sample TE 09,T09,TE,7,72.0
73,10,Sample QB 10,T10,QB,8,73.3
74,10,Sample RB 28,T11,RB,9,74.6
75,10,Sample RB 29,T12,RB,10,75.0
76,10,Sample RB 30,T13,RB,11,76.3
77,10,Sample WR 28,T14,WR,12,77.6
78,10,Sample WR 29,T15,WR,13,78.0
79,10,Sample WR 30,T16,WR,14,79.3
80,10,Sample TE 10,T17,TE,5,80.6
81,11,Sample QB 11,T18,QB,6,81.0
82,11,Sample RB 31,T19,RB,7,82.3
83,11,Sample RB 32,T20,RB,8,83.6
84,11,Sample RB 33,T21,RB,9,84.0
85,11,Sample WR 31,T22,WR,10,85.3
86,11,Sample WR 32,T23,WR,11,86.6
87,11,Sample WR 33,T24,WR,12,87.0
88,11,Sample TE 11,T25,TE,13,88.3
89,12,Sample QB 12,T26,QB,14,89.6
90,12,Sample RB 34,T27,RB,5,90.0
91,12,Sample RB 35,T28,RB,6,91.3
92,12,Sample RB 36,T29,RB,7,92.6
93,12,Sample WR 34,T30,WR,8,93.0
94,12,Sample WR 35,T31,WR,9,94.3
95,12,Sample WR 36,T32,WR,10,95.6
96,12,Sample TE 12,T01,TE,11,96.0
97,13,Sample QB 13,T02,QB,12,97.3
98,13,Sample RB 37,T03,RB,13,98.6
99,13,Sample RB 38,T04,RB,14,99.0
100,13,Sample RB 39,T05,RB,5,100.3
101,13,Sample WR 37,T06,WR,6,101.6
102,13,Sample WR 38,T07,WR,7,102.0
103,13,Sample WR 39,T08,WR,8,103.3
104,13,Sample TE 13,T09,TE,9,104.6
105,14,Sample QB 14,T10,QB,10,105.0
106,14,Sample RB 40,T11,RB,11,106.3
107,14,Sample RB 41,T12,RB,12,107.6
108,14,Sample RB 42,T13,RB,13,108.0
109,14,Sample WR 40,T14,WR,14,109.3
110,14,Sample WR 41,T15,WR,5,110.6
111,14,Sample WR 42,T16,WR,6,111.0
112,14,Sample TE 14,T17,TE,7,112.3
113,15,Sample QB 15,T18,QB,8,113.6
114,15,Sample RB 43,T19,RB,9,114.0
115,15,Sample RB 44,T20,RB,10,115.3
116,15,Sample RB 45,T21,RB,11,116.6
117,15,Sample WR 43,T22,WR,12,117.0
118,15,Sample WR 44,T23,WR,13,118.3
119,15,Sample WR 45,T24,WR,14,119.6
120,15,Sample TE 15,T25,TE,5,120.0
121,16,Sample WR 46,T26,WR,6,121.3
122,16,Sample WR 47,T27,WR,7,122.6
123,16,Sample WR 48,T28,WR,8,123.0
124,16,Sample WR 49,T29,WR,9,124.3
125,16,Sample WR 50,T30,WR,10,125.6
126,16,Sample K 01,T31,K,11,126.0
127,16,Sample K 02,T32,K,12,127.3
128,16,Sample K 03,T01,K,13,128.6
129,17,Sample K 04,T02,K,14,129.0
130,17,Sample K 05,T03,K,5,130.3
131,17,Sample K 06,T04,K,6,131.6
132,17,Sample K 07,T05,K,7,132.0
133,17,Sample K 08,T06,K,8,133.3
134,17,Sample K 09,T07,K,9,134.6
135,17,Sample K 10,T08,K,10,135.0
136,17,Sample K 11,T09,K,11,136.3
137,18,Sample K 12,T10,K,12,137.6
138,18,Sample DST 01,T11,DST,13,138.0
139,18,Sample DST 02,T12,DST,14,139.3
140,18,Sample DST 03,T13,DST,5,140.6
141,18,Sample DST 04,T14,DST,6,141.0
142,18,Sample DST 05,T15,DST,7,142.3
143,18,Sample DST 06,T16,DST,8,143.6
144,18,Sample DST 07,T17,DST,9,144.0
145,19,Sample DST 08,T18,DST,10,145.3
146,19,Sample DST 09,T19,DST,11,146.6
147,19,Sample DST 10,T20,DST,12,147.0
148,19,Sample DST 11,T21,DST,13,148.3
149,19,Sample DST 12,T22,DST,14,149.6
